graph_type,mesoregion_slug,mesoregion_label,nodes_assortativity,edges_assortativity,assortativity_pearson_r,assortativity_pearson_p,assortativity_spearman_r,assortativity_interpretation,nodes_bc,edges_bc,bc_mean,bc_median,bc_femicide_pearson_r,bc_femicide_pearson_p,bc_femicide_spearman_r,bc_femicide_spearman_p,bc_femicide_significant_005
highways,noroeste_de_minas,Noroeste de Minas,34,51,0.061957,0.443018,0.042915,NEARLY NEUTRAL: no clear spatial clustering pattern,34,51,0.090296,0.014473,0.129488,0.465466,0.406949,0.016915,True
physical_boundaries,noroeste_de_minas,Noroeste de Minas,34,70,0.000238,0.755803,0.082949,NEARLY NEUTRAL: no clear spatial clustering pattern,34,70,0.087177,0.016162,0.137652,0.437556,0.361494,0.035673,True
highways,norte_de_minas,Norte de Minas,93,155,0.135678,0.090250,0.112719,MODERATELY ASSORTATIVE: slight spatial clustering tendency,93,155,0.055351,0.021739,-0.042445,0.686233,0.108717,0.299585,False
physical_boundaries,norte_de_minas,Norte de Minas,93,224,0.064162,0.277980,0.065786,NEARLY NEUTRAL: no clear spatial clustering pattern,93,224,0.038035,0.012796,-0.074081,0.480361,0.061280,0.559543,False
highways,jequitinhonha,Jequitinhonha,43,58,-0.035193,0.888922,-0.016976,NEARLY NEUTRAL: no clear spatial clustering pattern,43,58,0.063258,0.017538,-0.063861,0.684124,0.116421,0.457202,False
physical_boundaries,jequitinhonha,Jequitinhonha,43,84,0.008127,0.876202,0.029720,NEARLY NEUTRAL: no clear spatial clustering pattern,43,84,0.057100,0.021487,-0.104987,0.502849,0.137554,0.379067,False
highways,vale_do_mucuri,Vale do Mucuri,19,21,-0.099074,0.666812,-0.105131,NEARLY NEUTRAL: no clear spatial clustering pattern,19,21,0.029928,0.017974,-0.226319,0.351492,-0.373995,0.114702,False
physical_boundaries,vale_do_mucuri,Vale do Mucuri,19,24,-0.085630,0.688552,-0.090823,NEARLY NEUTRAL: no clear spatial clustering pattern,19,24,0.028208,0.009804,-0.255260,0.291555,-0.430087,0.066067,False
highways,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba,73,125,-0.114419,0.198566,-0.117735,MODERATELY DISASSORTATIVE: neighboring municipalities tend to have different rates,73,125,0.071334,0.026145,0.322318,0.005419,0.480820,0.000017,True
physical_boundaries,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba,73,160,-0.099714,0.209836,-0.121328,NEARLY NEUTRAL: no clear spatial clustering pattern,73,160,0.059666,0.026460,0.412397,0.000288,0.448545,0.000069,True
highways,central_mineira,Central Mineira,23,18,-0.032927,0.083543,0.175103,NEARLY NEUTRAL: no clear spatial clustering pattern,23,18,0.017316,0.000000,-0.048454,0.826225,0.371335,0.081064,False
physical_boundaries,central_mineira,Central Mineira,23,27,-0.049287,0.536515,0.043147,NEARLY NEUTRAL: no clear spatial clustering pattern,23,27,0.011481,0.000000,-0.045145,0.837933,0.354358,0.097114,False
highways,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte,102,194,-0.067982,0.218195,0.030036,NEARLY NEUTRAL: no clear spatial clustering pattern,102,194,0.045758,0.021309,0.042926,0.668372,0.349973,0.000311,True
physical_boundaries,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte,102,247,-0.054365,0.300100,0.029917,NEARLY NEUTRAL: no clear spatial clustering pattern,102,247,0.035515,0.016647,0.052413,0.600850,0.316278,0.001202,True
highways,vale_do_rio_doce,Vale do Rio Doce,99,165,0.021899,0.778207,0.059013,NEARLY NEUTRAL: no clear spatial clustering pattern,99,165,0.041218,0.011153,-0.017128,0.866375,0.165349,0.101927,False
physical_boundaries,vale_do_rio_doce,Vale do Rio Doce,99,247,0.018470,0.769454,0.009966,NEARLY NEUTRAL: no clear spatial clustering pattern,99,247,0.030301,0.009296,-0.068101,0.503008,0.089767,0.376904,False
highways,oeste_de_minas,Oeste de Minas,47,79,0.214023,0.044427,0.260378,MODERATELY ASSORTATIVE: slight spatial clustering tendency,47,79,0.056840,0.023929,-0.039221,0.793516,0.176444,0.235463,False
physical_boundaries,oeste_de_minas,Oeste de Minas,47,97,0.197789,0.046158,0.187013,MODERATELY ASSORTATIVE: slight spatial clustering tendency,47,97,0.048576,0.019651,-0.044009,0.768967,0.110029,0.461580,False
highways,sul_sudoeste_de_minas,Sul / Sudoeste de Minas,147,276,0.028449,0.614358,0.115915,NEARLY NEUTRAL: no clear spatial clustering pattern,147,276,0.041112,0.029666,-0.004096,0.960734,0.161304,0.050960,False
physical_boundaries,sul_sudoeste_de_minas,Sul / Sudoeste de Minas,147,372,0.006356,0.882561,0.043904,NEARLY NEUTRAL: no clear spatial clustering pattern,147,372,0.035756,0.018403,-0.025148,0.762384,0.117785,0.155367,False
highways,campo_das_vertentes,Campo das Vertentes,42,56,-0.077181,0.596744,-0.116829,NEARLY NEUTRAL: no clear spatial clustering pattern,42,56,0.016521,0.004243,-0.029940,0.850705,0.048732,0.759245,False
physical_boundaries,campo_das_vertentes,Campo das Vertentes,42,76,-0.083001,0.475851,-0.130706,NEARLY NEUTRAL: no clear spatial clustering pattern,42,76,0.016260,0.003586,-0.015860,0.920593,0.061898,0.696972,False
highways,zona_da_mata,Zona da Mata,131,230,-0.006221,0.929401,0.002436,NEARLY NEUTRAL: no clear spatial clustering pattern,131,230,0.041037,0.015027,-0.060456,0.492745,0.177985,0.041964,True
physical_boundaries,zona_da_mata,Zona da Mata,131,328,-0.039563,0.473174,-0.025611,NEARLY NEUTRAL: no clear spatial clustering pattern,131,328,0.035535,0.012982,-0.054866,0.533662,0.191852,0.028146,True
